Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731101075.100810,12214,0,1
2,Payment,1731101075.104811,15816,3,1
1,NewOrder,1731101075.108809,4951,25,1
2,Payment,1731101075.112801,4446,1,1
2,Payment,1731101075.116817,7061,27,1
2,Payment,1731101075.120835,2505,2,1
2,Payment,1731101075.124836,3450,7,1
2,Payment,1731101075.128843,4473,18,1
2,Payment,1731101075.132823,5664,5,1
2,Payment,1731101075.136810,6459,15,1
2,Payment,1731101075.140808,6707,6,1
1,NewOrder,1731101075.144968,20105,20,1
5,StockLevel,1731101075.148847,5296,17,1
2,Payment,1731101075.152895,5025,11,1
1,NewOrder,1731101075.156909,14474,31,1
2,Payment,1731101075.160902,4706,16,1
2,Payment,1731101075.165731,4977,14,1
1,NewOrder,1731101075.168818,4793,21,1
1,NewOrder,1731101075.172907,9122,13,1
4,Delivery,1731101075.176814,16741,24,1
2,Payment,1731101075.180823,5354,22,1
2,Payment,1731101075.184814,5682,30,1
1,NewOrder,1731101075.188809,11144,12,1
1,NewOrder,1731101075.192821,9881,19,1
1,NewOrder,1731101075.196875,8658,4,1
1,NewOrder,1731101075.200839,15704,29,1
1,NewOrder,1731101075.204889,8592,9,1
1,NewOrder,1731101075.208822,6383,28,1
2,Payment,1731101075.212832,5502,10,1
2,Payment,1731101075.216812,5327,23,1
1,NewOrder,1731101075.220815,5638,8,1
2,Payment,1731101075.224810,5285,26,1
1,NewOrder,1731101075.228834,8452,0,1
2,Payment,1731101075.232802,5538,25,1
2,Payment,1731101075.236807,4859,1,1
1,NewOrder,1731101075.240805,5954,3,1
1,NewOrder,1731101075.244792,11674,2,1
1,NewOrder,1731101075.248794,8640,27,1
2,Payment,1731101075.252801,5705,7,1
2,Payment,1731101075.256805,8182,18,1
3,OrderStatus,1731101075.260828,2302,5,1
2,Payment,1731101075.264888,3279,15,1
1,NewOrder,1731101075.268963,7304,6,1
2,Payment,1731101075.272822,4077,17,1
1,NewOrder,1731101075.276806,6513,11,1
1,NewOrder,1731101075.280795,4876,20,1
2,Payment,1731101075.284796,3268,16,1
2,Payment,1731101075.288806,3460,14,1
2,Payment,1731101075.292799,3412,31,1
4,Delivery,1731101075.296795,12899,21,1
1,NewOrder,1731101075.300794,6706,13,1
1,NewOrder,1731101075.304807,7400,22,1
2,Payment,1731101075.308802,5028,30,1
1,NewOrder,1731101075.312804,8520,24,1
2,Payment,1731101075.316813,3074,12,1
2,Payment,1731101075.320818,4893,19,1
2,Payment,1731101075.324796,5760,4,1
2,Payment,1731101075.328810,6575,9,1
2,Payment,1731101075.332790,6543,28,1
2,Payment,1731101075.336787,6121,29,1
1,NewOrder,1731101075.340828,7796,10,1
2,Payment,1731101075.344830,2966,23,1
2,Payment,1731101075.348800,3144,8,1
2,Payment,1731101075.352799,3642,26,1
1,NewOrder,1731101075.356797,8783,0,1
2,Payment,1731101075.360787,3764,25,1
1,NewOrder,1731101075.364797,7962,1,1
1,NewOrder,1731101075.368800,18430,3,1
1,NewOrder,1731101075.372784,6943,1,1
1,NewOrder,1731101075.376804,6726,27,1
1,NewOrder,1731101075.380848,11273,7,1
2,Payment,1731101075.384817,3453,5,1
2,Payment,1731101075.388801,4032,18,1
2,Payment,1731101075.392800,2887,15,1
2,Payment,1731101075.396800,2794,6,1
1,NewOrder,1731101075.400823,5280,17,1
2,Payment,1731101075.404799,4232,11,1
5,StockLevel,1731101075.408845,2727,20,1
2,Payment,1731101075.412801,2873,16,1
2,Payment,1731101075.416802,3001,14,1
1,NewOrder,1731101075.420828,12176,31,1
5,StockLevel,1731101075.424862,4487,13,1
1,NewOrder,1731101075.428799,7438,21,1
1,NewOrder,1731101075.432844,9929,22,1
1,NewOrder,1731101075.436871,8228,30,1
2,Payment,1731101075.440810,3717,12,1
1,NewOrder,1731101075.444818,6630,24,1
1,NewOrder,1731101075.448828,6138,19,1
2,Payment,1731101075.452826,4907,4,1
4,Delivery,1731101075.456796,7558,9,1
2,Payment,1731101075.460793,2968,28,1
2,Payment,1731101075.464799,2922,29,1
2,Payment,1731101075.468793,2980,23,1
1,NewOrder,1731101075.472798,10550,10,1
4,Delivery,1731101075.476790,5632,8,1
1,NewOrder,1731101075.480794,7547,26,1
2,Payment,1731101075.484786,4331,25,1
2,Payment,1731101075.488798,4733,0,1
1,NewOrder,1731101075.492800,8394,2,1
2,Payment,1731101075.496796,11495,1,1
2,Payment,1731101075.500794,3565,27,1
2,Payment,1731101075.504797,6602,3,1
1,NewOrder,1731101075.508796,8718,5,1
1,NewOrder,1731101075.512797,7597,7,1
2,Payment,1731101075.516801,5172,18,1
1,NewOrder,1731101075.520797,8364,15,1
1,NewOrder,1731101075.524793,7230,6,1
2,Payment,1731101075.528779,4613,17,1
3,OrderStatus,1731101075.532794,2485,11,1
1,NewOrder,1731101075.536803,9693,20,1
1,NewOrder,1731101075.540790,7604,16,1
1,NewOrder,1731101075.544791,6361,14,1
2,Payment,1731101075.548808,6620,13,1
1,NewOrder,1731101075.552803,5253,31,1
2,Payment,1731101075.556799,3197,21,1
1,NewOrder,1731101075.560807,5649,22,1
1,NewOrder,1731101075.564795,4168,12,1
2,Payment,1731101075.568799,3042,30,1
2,Payment,1731101075.572795,2922,24,1
2,Payment,1731101075.576796,3937,19,1
2,Payment,1731101075.580793,3640,4,1
1,NewOrder,1731101075.584793,8607,28,1
1,NewOrder,1731101075.588797,6472,9,1
1,NewOrder,1731101075.592794,7394,29,1
2,Payment,1731101075.596794,2843,23,1
2,Payment,1731101075.600793,4695,8,1
2,Payment,1731101075.604798,4951,10,1
1,NewOrder,1731101075.608820,5125,26,1
5,StockLevel,1731101075.612795,4562,25,1
2,Payment,1731101075.616792,4450,0,1
1,NewOrder,1731101075.620790,7930,2,1
2,Payment,1731101075.624797,4505,27,1
1,NewOrder,1731101075.628812,4600,1,1
1,NewOrder,1731101075.632802,9121,3,1
2,Payment,1731101075.636834,4439,5,1
1,NewOrder,1731101075.640839,24533,7,1
5,StockLevel,1731101075.644801,5201,18,1
1,NewOrder,1731101075.648807,7527,15,1
5,StockLevel,1731101075.652822,4662,6,1
1,NewOrder,1731101075.656827,7685,17,1
1,NewOrder,1731101075.660846,16939,11,1
2,Payment,1731101075.664848,3950,20,1
2,Payment,1731101075.668804,2850,16,1
2,Payment,1731101075.672795,2817,14,1
1,NewOrder,1731101075.676815,4292,13,1
1,NewOrder,1731101075.680806,4660,31,1
2,Payment,1731101075.684819,4185,21,1
1,NewOrder,1731101075.688798,7622,22,1
2,Payment,1731101075.692794,4693,12,1
2,Payment,1731101075.696794,3832,30,1
1,NewOrder,1731101075.700795,5275,24,1
1,NewOrder,1731101075.704789,3978,19,1
1,NewOrder,1731101075.708786,5308,19,1
2,Payment,1731101075.712817,3374,28,1
1,NewOrder,1731101075.716811,9163,9,1
2,Payment,1731101075.720792,3886,23,1
2,Payment,1731101075.724794,3096,29,1
2,Payment,1731101075.728795,2493,8,1
2,Payment,1731101075.732805,5121,10,1
1,NewOrder,1731101075.736800,6721,26,1
1,NewOrder,1731101075.740794,5735,25,1
1,NewOrder,1731101075.744821,9512,0,1
1,NewOrder,1731101075.748802,16230,2,1
2,Payment,1731101075.752801,4333,27,1
1,NewOrder,1731101075.756799,11963,1,1
2,Payment,1731101075.760817,4293,5,1
3,OrderStatus,1731101075.764837,2168,3,1
2,Payment,1731101075.768795,2697,1,1
5,StockLevel,1731101075.772802,2468,15,1
2,Payment,1731101075.776851,3729,6,1
2,Payment,1731101075.780821,3728,17,1
1,NewOrder,1731101075.784802,16531,7,1
4,Delivery,1731101075.788791,23402,20,1
2,Payment,1731101075.792793,3294,16,1
1,NewOrder,1731101075.796793,16892,14,1
2,Payment,1731101075.800797,3557,11,1
1,NewOrder,1731101075.804808,8442,13,1
2,Payment,1731101075.808830,7565,31,1
1,NewOrder,1731101075.812802,10943,21,1
5,StockLevel,1731101075.816801,2939,22,1
2,Payment,1731101075.820808,3601,12,1
2,Payment,1731101075.824796,3372,30,1
1,NewOrder,1731101075.828792,4073,24,1
2,Payment,1731101075.832791,3150,4,1
2,Payment,1731101075.836791,3000,19,1
1,NewOrder,1731101075.840790,5684,28,1
2,Payment,1731101075.844785,3615,23,1
2,Payment,1731101075.848790,5071,9,1
4,Delivery,1731101075.852789,21032,29,1
1,NewOrder,1731101075.856817,6194,8,1
2,Payment,1731101075.860827,4393,10,1
2,Payment,1731101075.864803,5223,26,1
2,Payment,1731101075.868820,6004,25,1
1,NewOrder,1731101075.872821,6104,0,1
1,NewOrder,1731101075.876797,13361,27,1
2,Payment,1731101075.880815,3732,2,1
2,Payment,1731101075.884793,2462,5,1
2,Payment,1731101075.888800,2710,3,1
1,NewOrder,1731101075.892789,12926,18,1
2,Payment,1731101075.896795,2512,1,1
1,NewOrder,1731101075.900804,5367,15,1
2,Payment,1731101075.904791,3054,6,1
1,NewOrder,1731101075.908789,7933,17,1
2,Payment,1731101075.912797,7398,16,1
3,OrderStatus,1731101075.916792,2998,7,1
2,Payment,1731101075.920798,4703,11,1
1,NewOrder,1731101075.924801,6655,20,1
1,NewOrder,1731101075.928806,6525,13,1
1,NewOrder,1731101075.932792,10883,14,1
1,NewOrder,1731101075.936816,15698,31,1
1,NewOrder,1731101075.940792,5618,22,1
2,Payment,1731101075.944824,4885,21,1
2,Payment,1731101075.948820,4369,12,1
1,NewOrder,1731101075.952804,6366,30,1
2,Payment,1731101075.956811,3019,24,1
5,StockLevel,1731101075.960822,3529,4,1
1,NewOrder,1731101075.964790,6919,19,1
1,NewOrder,1731101075.968791,9032,28,1
2,Payment,1731101075.972791,3627,23,1
2,Payment,1731101075.976793,3508,9,1
2,Payment,1731101075.980792,2701,8,1
2,Payment,1731101075.984793,2830,10,1
1,NewOrder,1731101075.988791,5648,26,1
1,NewOrder,1731101075.992791,10481,29,1
2,Payment,1731101075.996809,4147,25,1
2,Payment,1731101076.000799,4103,0,1
2,Payment,1731101076.004802,2967,2,1
1,NewOrder,1731101076.008791,9514,5,1
3,OrderStatus,1731101076.012808,2743,27,1
1,NewOrder,1731101076.016794,6278,3,1
1,NewOrder,1731101076.020794,10235,1,1
1,NewOrder,1731101076.024811,10509,18,1
2,Payment,1731101076.028792,3573,15,1
5,StockLevel,1731101076.032791,3639,6,1
3,OrderStatus,1731101076.036789,2393,17,1
2,Payment,1731101076.040792,4311,7,1
1,NewOrder,1731101076.044832,10613,16,1
2,Payment,1731101076.048806,3053,11,1
1,NewOrder,1731101076.052795,5824,20,1
1,NewOrder,1731101076.056794,8387,13,1
2,Payment,1731101076.060788,7785,14,1
1,NewOrder,1731101076.064820,14511,22,1
1,NewOrder,1731101076.068804,5245,21,1
2,Payment,1731101076.072801,3852,31,1
2,Payment,1731101076.076792,4047,12,1
4,Delivery,1731101076.080796,15814,30,1
1,NewOrder,1731101076.084796,6448,24,1
4,Delivery,1731101076.088786,13698,4,1
1,NewOrder,1731101076.092791,8947,19,1
2,Payment,1731101076.096798,2858,23,1
4,Delivery,1731101076.100796,16366,28,1
1,NewOrder,1731101076.104794,4863,9,1
2,Payment,1731101076.108798,3536,8,1
2,Payment,1731101076.112816,3072,10,1
1,NewOrder,1731101076.116802,5749,26,1
2,Payment,1731101076.120797,2866,25,1
1,NewOrder,1731101076.124793,4366,29,1
1,NewOrder,1731101076.128791,5953,0,1
2,Payment,1731101076.132788,4512,2,1
1,NewOrder,1731101076.136817,19006,27,1
5,StockLevel,1731101076.140801,2958,5,1
1,NewOrder,1731101076.144817,7222,3,1
3,OrderStatus,1731101076.148790,1977,1,1
4,Delivery,1731101076.152793,9371,15,1
1,NewOrder,1731101076.156794,7822,18,1
2,Payment,1731101076.160790,3089,6,1
1,NewOrder,1731101076.164817,6612,17,1
1,NewOrder,1731101076.168792,5745,7,1
2,Payment,1731101076.172794,3857,11,1
2,Payment,1731101076.176792,3223,16,1
1,NewOrder,1731101076.180792,7269,20,1
1,NewOrder,1731101076.184793,8958,13,1
2,Payment,1731101076.188789,10076,14,1
2,Payment,1731101076.192803,3368,21,1
4,Delivery,1731101076.196792,17571,31,1
2,Payment,1731101076.200788,3044,22,1
2,Payment,1731101076.204788,2680,12,1
1,NewOrder,1731101076.208795,4951,24,1
1,NewOrder,1731101076.212817,5774,30,1
