Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1731100641.373431,1880,24,1
1,NewOrder,1731100641.374434,4357,26,1
1,NewOrder,1731100641.375431,4621,29,1
4,Delivery,1731100641.376445,17,1,1
2,Payment,1731100641.377437,3414,18,1
1,NewOrder,1731100641.378430,4607,13,1
2,Payment,1731100641.379428,3407,14,1
2,Payment,1731100641.380430,8067,31,1
1,NewOrder,1731100641.381432,3530,0,1
2,Payment,1731100641.382434,7918,25,1
1,NewOrder,1731100641.383442,3451,19,1
1,NewOrder,1731100641.384429,3296,23,1
2,Payment,1731100641.385427,7691,4,1
1,NewOrder,1731100641.386431,4164,10,1
2,Payment,1731100641.387433,5553,6,1
2,Payment,1731100641.388429,1695,28,1
1,NewOrder,1731100641.389431,4799,30,1
2,Payment,1731100641.390445,4177,5,1
1,NewOrder,1731100641.391429,7860,21,1
